"BehaviorSpace results (NetLogo 3D 5.1.0)"
"/home/ec2-user/swarmSimRescue/rescueSwarm3D.nlogo3d"
"SwarmModSizeExperiment"
"09/14/2014 03:16:13:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","swarmBehaviour","swarmModificationSize","[step]","rescued","totalVictims"
"399","false","0.2","20000","12","14"
"425","false","0.2","6494","8","8"
"431","false","0.2","6355","7","7"
"407","false","0.2","11142","11","11"
"402","false","0.2","20000","10","12"
"396","false","0.2","20000","7","9"
"338","false","0.2","20000","20","21"
"427","false","0.2","7086","10","10"
"408","false","0.2","20000","8","10"
"426","false","0.2","9355","15","15"
"413","false","0.2","20000","16","17"
"443","false","0.2","4158","6","6"
"403","false","0.2","20000","14","16"
"404","false","0.2","12789","16","16"
"444","false","0.2","5099","8","8"
"412","false","0.2","20000","6","12"
"439","false","0.2","7559","10","10"
"424","false","0.2","10080","12","12"
"410","false","0.2","20000","10","11"
"445","false","0.2","6818","14","14"
"418","false","0.2","20000","6","7"
"429","false","0.2","20000","14","15"
"428","false","0.2","20000","16","17"
"438","false","0.2","20000","16","17"
"335","false","0.2","20000","13","14"
"457","false","0.2","6427","10","10"
"435","false","0.2","13384","8","8"
"436","false","0.2","20000","16","17"
"448","false","0.2","9691","8","8"
"440","false","0.2","14789","11","11"
"437","false","0.2","20000","8","10"
"433","false","0.2","20000","11","12"
"464","false","0.2","4498","11","11"
"415","false","0.2","20000","9","10"
"454","false","0.2","7247","7","7"
"409","false","0.2","20000","15","16"
"442","false","0.2","20000","14","15"
"441","false","0.2","11643","10","10"
"458","false","0.2","8542","11","11"
"467","false","0.2","6284","17","17"
"453","false","0.2","11377","16","16"
"473","false","0.2","3908","8","8"
"461","false","0.2","6869","11","11"
"462","false","0.2","8811","16","16"
"472","false","0.2","4906","6","6"
"450","false","0.2","20000","7","9"
"449","false","0.2","20000","12","13"
"432","false","0.2","20000","10","12"
"465","false","0.2","4777","9","9"
"452","false","0.2","19184","12","12"
"397","false","0.2","20000","11","12"
"451","false","0.2","20000","12","13"
"470","false","0.2","7063","9","9"
"471","false","0.2","12041","20","20"
"482","false","0.2","5254","10","10"
"463","false","0.2","12106","8","8"
"483","false","0.2","6094","10","10"
"459","false","0.2","20000","10","11"
"481","false","0.2","5901","10","10"
"434","false","0.2","20000","12","15"
"476","false","0.2","6471","17","17"
"456","false","0.2","20000","8","10"
"488","false","0.2","4917","14","14"
"496","false","0.2","3384","10","10"
"474","false","0.2","13547","22","22"
"466","false","0.2","20000","12","14"
"447","false","0.2","12568","11","11"
"487","false","0.2","9231","15","15"
"490","false","0.2","8256","20","20"
"479","false","0.2","11035","12","12"
"469","false","0.2","20000","9","11"
"500","false","0.2","4107","9","9"
"495","false","0.2","11194","11","11"
"446","false","0.2","20000","12","13"
"477","false","0.2","14599","10","10"
"498","false","0.2","9389","12","12"
"493","false","0.2","10738","21","21"
"504","false","0.2","6078","12","12"
"455","false","0.2","20000","9","10"
"508","false","0.2","5379","9","9"
"510","false","0.2","2870","6","6"
"506","false","0.2","4943","11","11"
"480","false","0.2","20000","13","14"
"501","false","0.2","7512","17","17"
"516","false","0.2","3198","10","10"
"484","false","0.2","20000","12","14"
"505","false","0.2","8726","5","5"
"486","false","0.2","20000","5","14"
"499","false","0.2","11107","7","7"
"517","false","0.2","5316","16","16"
"478","false","0.2","20000","10","12"
"494","false","0.2","15001","7","7"
"509","false","0.2","10318","7","7"
"515","false","0.2","7064","12","12"
"460","false","0.2","20000","9","10"
"518","false","0.2","8834","7","7"
"531","false","0.2","2810","6","6"
"523","false","0.2","5983","16","16"
"468","false","0.2","20000","16","17"
"527","false","0.2","6599","13","13"
"520","false","0.2","9668","12","12"
"511","false","0.2","12918","8","8"
"507","false","0.2","7164","12","12"
"530","false","0.2","6938","12","12"
"521","false","0.2","8866","12","12"
"529","false","0.2","7079","17","17"
"475","false","0.2","20000","7","8"
"538","false","0.2","2648","8","8"
